Titre;Descriptif;Date début;Date fin;Durée (jours);Fréquentation visiteurs individuels;Fréquentation visiteurs groupes;Fréquentation totale;Salle;Organisateur
XYZT - Les paysages abstraits;Dix installations, créées par la compagnie Adrien M / Claire B, explorent des interactions inédites ou exploitent d'anciennes techniques d'illusions et déploient un territoire imaginaire.;13/03/2013;14/04/2013;32;5170;1127;6297;Conti;Direction des Champs Libres
Bernard Collet s’affiche au Musée de Bretagne;Le travail de Bernard Collet, affichiste et illustrateur contemporain, dont certaines images font partie des collections du musée de Bretagne.;15/02/2008;06/01/2008;107;9340;2125;11465;Creston;Musée de Bretagne
Les Bretons et l'argent;Une collection de plus de 300 objets met en valeur les comportements individuels et les pratiques collectives des Bretons à l’égard de l’argent.;05/10/2011;30/10/2011;173;16210;520;16730;Rivière / Creston;Musée de Bretagne
Travailler du chapeau, les métiers du chapelier et de la modiste;Une rétrospective de l'évolution de la chapellerie au cours du XXe siècle et une découverte des techniques de la fabrication du chapeau.;18/05/2007;11/10/2007;176;;;12473;Creston;Musée de Bretagne
Hommes racines;Le parcours photographique mené par Pierre de Vallombreuse à la rencontre de 11 peuples qui entretiennent un rapport singulier avec leur environnement.;26/04/2012;23/09/2012;150;6341;488;6829;Conti;Direction des Champs Libres
Images de chantier;L'histoire du chantier des Champs Libres vue par Alain Amet, photographe du musée de Bretagne.;28/03/2006;09/03/2006;159;;;9163;Creston;Musée de Bretagne
Voyager en couleurs;Un chapitre de l’histoire de la photographie : les premières photographies en couleur (sur plaque autochrome) prises en Bretagne de 1907 à 1929. En partenariat avec le musée départemental Albert-Kahn (Conseil général des Hauts-de-Seine).;07/10/2007;18/11/2007;131;8687;341;9028;Conti;Direction des Champs Libres
Pékin 66;40 photographies de la française Solange Brand qui a vécu en direct la révolution culturelle en Chine et montre la complexité de ces années pour le peuple chinois.;14/11/2006;14/02/2007;92;;;7918;Creston;Musée de Bretagne
Migrations Bretagne / Monde;Témoignages, documents et films d'archives éclairent les circonstances et le vécu des émigrés et des immigrés du début du XIXe siècle à nos jours en Bretagne.;15/03/2013;09/01/2013;170;11796;1218;13014;Rivière / Creston;Musée de Bretagne
Boat People, bateaux de l’exil;L’exode vietnamien de la fin des années 70 qui illustre la migration des réfugiés de la mer.;12/03/2009;05/02/2010;150;8671;620;9291;Conti;Musée de Bretagne
Germaine Tillion, ethnologue et résistante;Le parcours de Germaine Tillion, grande figure humaniste du XXe siècle connue pour son engagement précoce dans la résistance et ses positions pendant la guerre d'Algérie. En partenariat avec le Centre d'histoire de la résistance et de la déportation de Lyon, le musée de l'Homme et le musée du quai Branly.;24/01/2008;05/04/2008;101;9035;168;9203;Conti;Musée de Bretagne
Reflets de Bretagne - 160 ans de photographies inédites;300 tirages issus du fonds photographique du musée de Bretagne proposent une multitude de regards sur la Bretagne et son histoire.;29/06/2012;01/06/2013;191;19864;1415;21269;Rivière / Creston;Musée de Bretagne
6 milliards d'autres;5 000 interviews filmées dans 75 pays par les équipes de Yann Arthus-Bertrand pendant 4 ans. Une réflexion sur la diversité humaine et culturelle.;14/04/2009;30/08/2009;138;22555;809;23364;Conti;Direction des Champs Libres
